Province code,Province name,Indicator,Value
1,Koshi,Housing_unit_only,18718
1,Koshi,Land_only,149703
1,Koshi,Both_housing_unit_&_land,169707
1,Koshi,Neither_housing_unit _nor_land,841564
1,Koshi,Not_stated,11063
2,Madhesh,Housing_unit_only,30688
2,Madhesh,Land_only,122310
2,Madhesh,Both_housing_unit_&_land,138394
2,Madhesh,Neither_housing_unit _nor_land,846638
2,Madhesh,Not_stated,18353
3,Bagmati,Housing_unit_only,47495
3,Bagmati,Land_only,146881
3,Bagmati,Both_housing_unit_&_land,196568
3,Bagmati,Neither_housing_unit _nor_land,1162877
3,Bagmati,Not_stated,14096
4,Gandaki,Housing_unit_only,22520
4,Gandaki,Land_only,71163
4,Gandaki,Both_housing_unit_&_land,93465
4,Gandaki,Neither_housing_unit _nor_land,453440
4,Gandaki,Not_stated,21044
5,Lumbini,Housing_unit_only,29641
5,Lumbini,Land_only,106500
5,Lumbini,Both_housing_unit_&_land,131486
5,Lumbini,Neither_housing_unit _nor_land,853395
5,Lumbini,Not_stated,20323
6,Karnali,Housing_unit_only,3383
6,Karnali,Land_only,20005
6,Karnali,Both_housing_unit_&_land,22544
6,Karnali,Neither_housing_unit _nor_land,310104
6,Karnali,Not_stated,10001
7,Sudurpashchim,Housing_unit_only,3931
7,Sudurpashchim,Land_only,27113
7,Sudurpashchim,Both_housing_unit_&_land,36753
7,Sudurpashchim,Neither_housing_unit _nor_land,498530
7,Sudurpashchim,Not_stated,10445
